Disease	Type 2 diabetes	Rank_Type 2 diabetes
HG01872	1.06	0.369
HG01873	1.2308	0.4345
HG01874	0.2192	0.006
HG01878	0.3751	0.0447
HG01879	0.6781	0.1869
HG01880	3.0268	0.8379
HG01882	0.9216	0.3131
HG01883	2.3401	0.744
HG01885	1.9217	0.6637
HG01886	2.9931	0.8327
HG01889	1.79	0.6286
HG01890	1.4884	0.5347
HG01892	0.4937	0.1018
HG01893	5.6108	0.9525
HG01894	1.9332	0.6677
HG01896	2.3257	0.7404
HG01912	3.0963	0.8423
HG01914	0.5863	0.139
HG01915	4.3445	0.9177
HG01917	0.5763	0.1334
HG01918	0.7359	0.2236
HG01920	0.4127	0.0627
HG01921	0.4696	0.0919
HG01923	0.8544	0.2823
HG01924	0.7053	0.2033
HG01926	2.3738	0.7504
HG01927	0.6418	0.1657
HG01932	0.3352	0.0292
HG01933	1.0212	0.3546
HG01935	0.3314	0.0276
HG01936	1.6553	0.5946
HG01938	1.5013	0.5423
HG01939	2.203	0.7212
HG01941	0.7304	0.2204
HG01942	1.1411	0.3958
HG01944	1.4486	0.522
HG01945	4.361	0.9189
HG01947	1.6151	0.5811
HG01948	0.4489	0.0795
HG01950	0.5922	0.1418
HG01951	0.5919	0.1414
HG01953	1.3037	0.4692
HG01954	0.579	0.1354
HG01956	1.5356	0.5535
HG01958	2.0832	0.6981
HG01961	0.7984	0.256
HG01965	0.4293	0.0695
HG01967	0.5083	0.1062
HG01968	0.6718	0.1833
HG01970	1.566	0.5639
HG01971	0.8467	0.2792
HG01973	0.587	0.1394
HG01974	0.2013	0.0048
HG01976	0.9249	0.3139
HG01977	0.7694	0.2428
HG01979	0.5853	0.1382
HG01980	1.2067	0.4221
HG01982	4.6627	0.9333
HG01985	2.5922	0.7875
HG01986	0.4583	0.0859
HG01988	0.6083	0.1518
HG01989	1.3077	0.4716
HG01990	3.8232	0.8926
HG01991	1.209	0.4241
HG01992	0.7737	0.246
HG01997	1.5206	0.5491
HG02002	1.5394	0.5547
HG02003	0.7048	0.2029
HG02006	0.6031	0.1482
HG02008	0.955	0.3287
HG02009	3.4264	0.8662
HG02010	3.5082	0.8726
HG02012	2.8795	0.8219
HG02013	1.1502	0.4022
HG02014	0.7518	0.2328
HG02016	1.7164	0.613
HG02017	0.7925	0.252
HG02019	0.3429	0.0319
HG02020	0.8262	0.2692
HG02023	1.4147	0.51
HG02025	0.2947	0.018
HG02026	1.2456	0.4425
HG02028	0.4221	0.0679
HG02029	0.9902	0.3411
HG02031	0.4646	0.0887
HG02032	2.271	0.7312
HG02035	0.7078	0.2061
HG02040	1.0323	0.3574
HG02047	2.2984	0.7352
HG02048	1.1985	0.4189
HG02049	0.9558	0.3291
HG02050	2.8554	0.8195
HG02051	6.9081	0.972
HG02052	3.4401	0.8682
HG02053	1.0646	0.3702
HG02054	3.2233	0.8522
HG02057	1.5749	0.5683
HG02058	1.2748	0.4569
HG02060	1.6928	0.6062
HG02061	1.0785	0.3762
HG02064	0.1901	0.0028
HG02067	0.4765	0.0958
HG02069	0.4796	0.0986
HG02070	0.877	0.2919
HG02072	0.5104	0.1074
HG02073	0.4446	0.0763
HG02075	1.6095	0.5799
HG02076	1.4832	0.5327
HG02078	0.3571	0.0383
HG02079	0.3228	0.0252
HG02081	0.3901	0.0535
HG02082	3.1308	0.8458
HG02084	0.7219	0.2161
HG02085	3.1497	0.8478
HG02086	2.4586	0.7644
HG02087	1.3188	0.4748
HG02088	0.6615	0.1777
HG02089	1.5139	0.5467
HG02090	0.6553	0.1745
HG02095	0.3455	0.0335
HG02102	0.3867	0.0503
HG02104	0.3814	0.0475
HG02105	0.4495	0.0803
HG02107	5.9441	0.9609
HG02108	2.0637	0.6941
HG02111	1.0312	0.357
HG02113	0.2505	0.0108
HG02116	0.7909	0.2512
HG02121	0.9481	0.3243
HG02122	0.2611	0.0116
HG02127	1.7491	0.6198
HG02128	0.4854	0.0994
HG02130	0.6818	0.1881
HG02131	1.3469	0.4872
HG02133	1.9307	0.6669
HG02134	0.2956	0.0184
HG02136	0.3906	0.0539
HG02137	1.2943	0.4641
HG02138	0.7863	0.2488
HG02139	3.9196	0.8998
HG02140	1.5002	0.5419
HG02141	1.6351	0.5879
HG02142	0.9287	0.3143
HG02143	0.9199	0.3115
HG02144	0.8297	0.2716
HG02146	0.7335	0.2216
HG02147	0.2686	0.0128
HG02150	0.5044	0.1054
HG02151	0.7349	0.2224
HG02152	0.6185	0.1554
HG02153	0.7074	0.2045
HG02154	1.9217	0.6637
HG02155	4.7645	0.9349
HG02156	0.7327	0.2212
HG02164	2.5171	0.7752
HG02165	1.3378	0.4836
HG02166	1.1779	0.4113
HG02178	1.3531	0.4896
HG02179	1.2958	0.4645
HG02180	1.3108	0.4728
HG02181	0.4556	0.0839
HG02182	0.8319	0.2724
HG02184	2.1372	0.7089
HG02185	0.4152	0.0639
HG02186	0.8765	0.2911
HG02187	0.3779	0.0463
HG02188	0.7593	0.2368
HG02190	0.6821	0.1901
HG02215	1.6573	0.5954
HG02219	1.4489	0.5224
HG02220	1.2026	0.4209
HG02221	1.2667	0.4513
HG02223	0.6869	0.1925
HG02224	3.837	0.8938
HG02230	2.4257	0.7596
HG02231	1.9949	0.6817
HG02232	0.7717	0.244
HG02233	2.1018	0.7017
HG02235	0.58	0.1362
HG02236	2.1516	0.7121
HG02238	5.1459	0.9449
HG02239	0.8554	0.2831
HG02250	1.2329	0.4349
HG02252	2.0616	0.6929
HG02253	0.7148	0.2109
HG02255	0.7559	0.2348
HG02256	0.7667	0.2408
HG02259	1.1434	0.3982
HG02260	0.4721	0.0946
HG02262	1.6844	0.6034
HG02265	1.0842	0.3782
HG02266	0.5217	0.1114
HG02271	0.672	0.1845
HG02272	0.4331	0.0703
HG02274	2.8494	0.8183
HG02275	0.5138	0.1082
HG02277	2.9574	0.8303
HG02278	1.9753	0.6793
HG02281	1.2597	0.4469
HG02282	1.8154	0.635
HG02283	7.8948	0.9824
HG02284	1.8287	0.6402
HG02285	0.532	0.1154
HG02286	0.7424	0.2268
HG02291	0.4649	0.0891
HG02292	0.3814	0.0475
HG02298	1.329	0.4788
HG02299	0.6999	0.1997
HG02301	0.4408	0.0735
HG02304	0.6733	0.1853
HG02307	1.2606	0.4477
HG02308	3.7449	0.8886
HG02309	1.2737	0.4561
HG02312	2.0216	0.6841
HG02314	1.2203	0.4289
HG02315	1.2117	0.4249
HG02317	2.9282	0.8275
HG02318	1.6416	0.5895
HG02322	2.0844	0.6989
HG02323	1.3901	0.5044
HG02325	3.2143	0.8514
HG02330	1.6299	0.5871
HG02332	2.536	0.7776
HG02334	3.5812	0.8782
HG02337	1.305	0.47
HG02339	0.9737	0.3339
HG02343	1.3036	0.4688
HG02345	0.443	0.0751
HG02348	0.9134	0.3099
HG02351	0.7122	0.2089
HG02353	0.5443	0.1222
HG02355	0.7019	0.2013
HG02356	0.808	0.2608
HG02360	1.6024	0.5759
